TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
pituitary-adenoma-ACTH_non_functioning	pituitary-adenoma-ACTH_non_functioning	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
upper_aerodigestive_tract-mouth-other-epithelial_hyperplasia	upper_aerodigestive_tract-mouth-other-epithelial_hyperplasia	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
pancreas-carcinoid-endocrine_tumour-somatostatinoma	pancreas-carcinoid-endocrine_tumour-somatostatinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
soft_tissue-fibrous_tissue_and_uncertain_origin-nodular_fasciitis	soft_tissue-fibrous_tissue_and_uncertain_origin-nodular_fasciitis	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
large_intestine-serrated_polyp-hyperplastic_polyp	large_intestine-serrated_polyp-hyperplastic_polyp	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
haematopoietic_and_lymphoid_tissue-skin-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	haematopoietic_and_lymphoid_tissue-skin-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-penis-carcinoma-squamous_cell_carcinoma	skin-penis-carcinoma-squamous_cell_carcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
central_nervous_system-temporal_lobe-glioma-oligodendroglioma_Grade_III	central_nervous_system-temporal_lobe-glioma-oligodendroglioma_Grade_III	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-buttock-benign_melanocytic_nevus-blue	skin-buttock-benign_melanocytic_nevus-blue	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-upper_back-benign_melanocytic_nevus-melanocytic_tumour	skin-upper_back-benign_melanocytic_nevus-melanocytic_tumour	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
sella_turcica	sella_turcica	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-abdomen-other-seborrhoeic_keratosis	skin-abdomen-other-seborrhoeic_keratosis	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
central_nervous_system-brain-glioma-gliomatosis_cerebri	central_nervous_system-brain-glioma-gliomatosis_cerebri	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
Hashimotos_thyroiditis	Hashimotos_thyroiditis	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
salivary_gland-adenolymphoma_(Warthin_tumour)	salivary_gland-adenolymphoma_(Warthin_tumour)	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
central_nervous_system-cerebrum-glioma-astrocytoma_Grade_I	central_nervous_system-cerebrum-glioma-astrocytoma_Grade_I	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
lentiginous_nevus	lentiginous_nevus	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
in_situ_melanotic_neoplasm	in_situ_melanotic_neoplasm	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
urinary_tract-ureter-carcinoma	urinary_tract-ureter-carcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-upper_leg-benign_melanocytic_nevus	skin-upper_leg-benign_melanocytic_nevus	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
central_nervous_system-temporal_lobe-primitive_neuroectodermal_tumour-medulloblastoma	central_nervous_system-temporal_lobe-primitive_neuroectodermal_tumour-medulloblastoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-knee-benign_melanocytic_nevus-melanocytic_tumour	skin-knee-benign_melanocytic_nevus-melanocytic_tumour	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
genital_tract-germ_cell_tumour-teratoma	genital_tract-germ_cell_tumour-teratoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
ganglioneuroma	ganglioneuroma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
kidney-carcinoma-collecting_duct_carcinoma	kidney-carcinoma-collecting_duct_carcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
melanocytoma	melanocytoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
haematopoietic_and_lymphoid_tissue-central_nervous_system-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	haematopoietic_and_lymphoid_tissue-central_nervous_system-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
somatostatinoma	somatostatinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-lower_leg-benign_melanocytic_nevus	skin-lower_leg-benign_melanocytic_nevus	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
urinary_tract-bladder-carcinoma-small_cell_carcinoma	urinary_tract-bladder-carcinoma-small_cell_carcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
ischium	ischium	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-upper_leg-carcinoma-Merkel_cell_carcinoma	skin-upper_leg-carcinoma-Merkel_cell_carcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-benign_melanocytic_nevus-lentiginous_nevus	skin-benign_melanocytic_nevus-lentiginous_nevus	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
soft_tissue-striated_muscle-rhabdomyosarcoma-mixed	soft_tissue-striated_muscle-rhabdomyosarcoma-mixed	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-subungual-malignant_melanoma	skin-subungual-malignant_melanoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
lateral_ventricle	lateral_ventricle	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
peritoneum-mesothelioma-sarcomatous-fibrous	peritoneum-mesothelioma-sarcomatous-fibrous	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
salivary_gland-maxillary_sinus-carcinoma-adenoid_cystic_carcinoma	salivary_gland-maxillary_sinus-carcinoma-adenoid_cystic_carcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
stomach-other-hamartoma	stomach-other-hamartoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
bone-femur-chondrosarcoma-dedifferentiated	bone-femur-chondrosarcoma-dedifferentiated	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
central_nervous_system-frontal_lobe-glioma-oligodendroglioma_Grade_II	central_nervous_system-frontal_lobe-glioma-oligodendroglioma_Grade_II	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-shoulder-malignant_melanoma-lentigo_maligna	skin-shoulder-malignant_melanoma-lentigo_maligna	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
peritoneum-mesothelioma-biphasic	peritoneum-mesothelioma-biphasic	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
lymphoepithelioma_like_carcinoma	lymphoepithelioma_like_carcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
lung-left_lower_lobe-carcinoma-squamous_cell_carcinoma	lung-left_lower_lobe-carcinoma-squamous_cell_carcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-arm-epidermal_nevus	skin-arm-epidermal_nevus	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-back-other-seborrhoeic_keratosis	skin-back-other-seborrhoeic_keratosis	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
autonomic_ganglia-ganglioneuroma	autonomic_ganglia-ganglioneuroma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
soft_tissue-smooth_muscle-leiomyoblastoma	soft_tissue-smooth_muscle-leiomyoblastoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
psammomatous	psammomatous	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-arm-malignant_melanoma-superficial_spreading	skin-arm-malignant_melanoma-superficial_spreading	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
gangliocytoma	gangliocytoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-ankle-malignant_melanoma-nodular	skin-ankle-malignant_melanoma-nodular	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-upper_arm-benign_melanocytic_nevus-Spitz	skin-upper_arm-benign_melanocytic_nevus-Spitz	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
haematopoietic_and_lymphoid_tissue-lymph_node-lymphoid_neoplasm-lymphoplasmacytic_lymphoma	haematopoietic_and_lymphoid_tissue-lymph_node-lymphoid_neoplasm-lymphoplasmacytic_lymphoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
plexiform	plexiform	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
central_nervous_system-frontal_lobe-primitive_neuroectodermal_tumour-medulloblastoma	central_nervous_system-frontal_lobe-primitive_neuroectodermal_tumour-medulloblastoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
meninges-meningioma-angiomatous	meninges-meningioma-angiomatous	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
pancreas-other-borderline_tumour	pancreas-other-borderline_tumour	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-upper_arm-benign_melanocytic_nevus-blue	skin-upper_arm-benign_melanocytic_nevus-blue	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
angiomatous	angiomatous	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
central_nervous_system-parietal_lobe-primitive_neuroectodermal_tumour-medulloblastoma	central_nervous_system-parietal_lobe-primitive_neuroectodermal_tumour-medulloblastoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
lung-right_middle_lobe-carcinoma-adenocarcinoma	lung-right_middle_lobe-carcinoma-adenocarcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
aneurysmal_bone_cyst	aneurysmal_bone_cyst	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-shoulder-benign_melanocytic_nevus	skin-shoulder-benign_melanocytic_nevus	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
meninges-meningioma-psammomatous	meninges-meningioma-psammomatous	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
central_nervous_system-glioma-astrocytoma_Grade_II	central_nervous_system-glioma-astrocytoma_Grade_II	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-foot-malignant_melanoma-superficial_spreading	skin-foot-malignant_melanoma-superficial_spreading	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-arm-benign_melanocytic_nevus-melanocytic_tumour	skin-arm-benign_melanocytic_nevus-melanocytic_tumour	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
bone-fibula-osteosarcoma	bone-fibula-osteosarcoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
meninges-melanocytoma	meninges-melanocytoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
central_nervous_system-frontoparietal-glioma-oligodendroglioma_Grade_III	central_nervous_system-frontoparietal-glioma-oligodendroglioma_Grade_III	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
breast-carcinoma-clear_cell_carcinoma	breast-carcinoma-clear_cell_carcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
central_nervous_system-third_ventricle-glioma-ependymoma	central_nervous_system-third_ventricle-glioma-ependymoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
thyroid-chronic_thyroiditis-Hashimotos_thyroiditis	thyroid-chronic_thyroiditis-Hashimotos_thyroiditis	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-face-other-seborrhoeic_keratosis	skin-face-other-seborrhoeic_keratosis	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
central_nervous_system-frontal_lobe-glioma-oligoastrocytoma_Grade_III	central_nervous_system-frontal_lobe-glioma-oligoastrocytoma_Grade_III	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
astroblastoma	astroblastoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
bone-chondrosarcoma-clear_cell	bone-chondrosarcoma-clear_cell	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
lung-carcinoma-sarcomatoid_carcinoma	lung-carcinoma-sarcomatoid_carcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
peritoneum-mesothelioma-papillary	peritoneum-mesothelioma-papillary	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-benign_melanocytic_nevus-dysplastic	skin-benign_melanocytic_nevus-dysplastic	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
borderline_tumour	borderline_tumour	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-hand-malignant_melanoma-superficial_spreading	skin-hand-malignant_melanoma-superficial_spreading	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
TSH	TSH	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
central_nervous_system-intraventricular-glioma-astrocytoma_Grade_III	central_nervous_system-intraventricular-glioma-astrocytoma_Grade_III	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
spindle_cell	spindle_cell	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
central_nervous_system-pineal_gland-glioma-astrocytoma_Grade_I	central_nervous_system-pineal_gland-glioma-astrocytoma_Grade_I	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
haematopoietic_and_lymphoid_tissue-liver-lymphoid_neoplasm-Burkitt_lymphoma	haematopoietic_and_lymphoid_tissue-liver-lymphoid_neoplasm-Burkitt_lymphoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
cervix-carcinoma-clear_cell_carcinoma	cervix-carcinoma-clear_cell_carcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
bone-cranium-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	bone-cranium-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
salivary_gland-head_neck-carcinoma-adenoid_cystic_carcinoma	salivary_gland-head_neck-carcinoma-adenoid_cystic_carcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
haematopoietic_and_lymphoid_tissue-thyroid-lymphoid_neoplasm	haematopoietic_and_lymphoid_tissue-thyroid-lymphoid_neoplasm	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
bone-extraskeletal-chondrosarcoma	bone-extraskeletal-chondrosarcoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
gliomatosis_cerebri	gliomatosis_cerebri	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-upper_arm-benign_melanocytic_nevus	skin-upper_arm-benign_melanocytic_nevus	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-face-carcinoma-Merkel_cell_carcinoma	skin-face-carcinoma-Merkel_cell_carcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
haematopoietic_and_lymphoid_tissue-stomach-lymphoid_neoplasm-MALT_lymphoma	haematopoietic_and_lymphoid_tissue-stomach-lymphoid_neoplasm-MALT_lymphoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
nodular_fasciitis	nodular_fasciitis	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
bone-other-chondroma	bone-other-chondroma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-lower_leg-epidermal_nevus	skin-lower_leg-epidermal_nevus	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-scalp-benign_melanocytic_nevus-melanocytic_tumour	skin-scalp-benign_melanocytic_nevus-melanocytic_tumour	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-head_neck-malignant_melanoma	skin-head_neck-malignant_melanoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
endometrium-carcinoma-mixed_endometrioid_and_clear_cell_carcinoma	endometrium-carcinoma-mixed_endometrioid_and_clear_cell_carcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
epithelial_hyperplasia	epithelial_hyperplasia	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
autonomic_ganglia-paraganglioma-benign	autonomic_ganglia-paraganglioma-benign	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-trunk-epidermal_nevus	skin-trunk-epidermal_nevus	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-head_neck-epidermal_nevus	skin-head_neck-epidermal_nevus	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
collecting_duct_carcinoma	collecting_duct_carcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
central_nervous_system-intraventricular-glioma-astrocytoma_Grade_II	central_nervous_system-intraventricular-glioma-astrocytoma_Grade_II	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-adnexal_tumour-trichoblastoma	skin-adnexal_tumour-trichoblastoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
central_nervous_system-temporal_lobe-glioma-oligodendroglioma_Grade_II	central_nervous_system-temporal_lobe-glioma-oligodendroglioma_Grade_II	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-leg-other-atypical_Spitzoid_tumour	skin-leg-other-atypical_Spitzoid_tumour	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-in_situ_epithelial_neoplasm-Bowen_disease	skin-in_situ_epithelial_neoplasm-Bowen_disease	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-malignant_melanoma-in_situ_melanotic_neoplasm	skin-malignant_melanoma-in_situ_melanotic_neoplasm	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-upper_arm-malignant_melanoma-superficial_spreading	skin-upper_arm-malignant_melanoma-superficial_spreading	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-ear-benign_melanocytic_nevus-blue	skin-ear-benign_melanocytic_nevus-blue	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
large_intestine-anus-malignant_melanoma	large_intestine-anus-malignant_melanoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-flank-other-seborrhoeic_keratosis	skin-flank-other-seborrhoeic_keratosis	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
leiomyoblastoma	leiomyoblastoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
pituitary-adenoma-TSH	pituitary-adenoma-TSH	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
salivary_gland-pharynx-carcinoma-adenoid_cystic_carcinoma	salivary_gland-pharynx-carcinoma-adenoid_cystic_carcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
haematopoietic_and_lymphoid_tissue-salivary_gland-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	haematopoietic_and_lymphoid_tissue-salivary_gland-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
soft_tissue-nerve_sheath-neurofibroma-plexiform	soft_tissue-nerve_sheath-neurofibroma-plexiform	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-back-benign_melanocytic_nevus-melanocytic_tumour	skin-back-benign_melanocytic_nevus-melanocytic_tumour	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-epidermal_nevus	skin-epidermal_nevus	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-eye-malignant_melanoma	skin-eye-malignant_melanoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
chondroblastic	chondroblastic	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
liver-other-hyperplasia	liver-other-hyperplasia	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-forearm-malignant_melanoma-superficial_spreading	skin-forearm-malignant_melanoma-superficial_spreading	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
phalanx	phalanx	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
hyperplastic_polyp	hyperplastic_polyp	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-upper_leg-benign_melanocytic_nevus-blue	skin-upper_leg-benign_melanocytic_nevus-blue	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
clavicle	clavicle	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-in_situ_epithelial_neoplasm-actinic_keratosis	skin-in_situ_epithelial_neoplasm-actinic_keratosis	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-sun_exposed_site-malignant_melanoma	skin-sun_exposed_site-malignant_melanoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-chest-benign_melanocytic_nevus	skin-chest-benign_melanocytic_nevus	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
maxillary_sinus	maxillary_sinus	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
skin-trunk-malignant_melanoma-superficial_spreading	skin-trunk-malignant_melanoma-superficial_spreading	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
large_intestine-appendix-carcinoma-adenocarcinoma	large_intestine-appendix-carcinoma-adenocarcinoma	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
adenolymphoma_(Warthin_tumour)	adenolymphoma_(Warthin_tumour)	0.999999999978163	-2.18365762430696e-11	6	0	0	23	17775
acinic_cell_carcinoma	acinic_cell_carcinoma	0.999999999978522	-2.14776734816142e-11	32	0	0	23	17775
ovary-sex_cord-stromal_tumour-granulosa_cell_tumour	ovary-sex_cord-stromal_tumour-granulosa_cell_tumour	0.999999999978522	-2.14776734816142e-11	32	0	0	23	17775
autonomic_ganglia-para_aortic-paraganglioma-benign	autonomic_ganglia-para_aortic-paraganglioma-benign	0.999999999978522	-2.14776734816142e-11	32	0	0	23	17775
urinary_tract-bladder-carcinoma-adenocarcinoma	urinary_tract-bladder-carcinoma-adenocarcinoma	0.999999999978522	-2.14776734816142e-11	32	0	0	23	17775
acute_leukaemic_transformation_of_primary_myelofibrosis	acute_leukaemic_transformation_of_primary_myelofibrosis	0.999999999978522	-2.14776734816142e-11	32	0	0	23	17775
para_aortic	para_aortic	0.999999999978522	-2.14776734816142e-11	32	0	0	23	17775
fibrosarcoma	fibrosarcoma	0.999999999978522	-2.14776734816142e-11	32	0	0	23	17775
haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-acute_leukaemic_transformation_of_primary_myelofibrosis	haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-acute_leukaemic_transformation_of_primary_myelofibrosis	0.999999999978522	-2.14776734816142e-11	32	0	0	23	17775
B_cell_lymphoma_unspecified	B_cell_lymphoma_unspecified	0.999999999978522	-2.14776734816142e-11	32	0	0	23	17775
granulosa_cell_tumour	granulosa_cell_tumour	0.999999999978522	-2.14776734816142e-11	32	0	0	23	17775
ovary-low_malignant_potential_(borderline)_tumour-serous	ovary-low_malignant_potential_(borderline)_tumour-serous	0.999999999978522	-2.14776734816142e-11	32	0	0	23	17775
central_nervous_system-brainstem-glioma	central_nervous_system-brainstem-glioma	0.999999999979146	-2.08543442029275e-11	356	0	0	23	17775
endometrium-ovary-endometriosis	endometrium-ovary-endometriosis	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
pituitary-adenoma-PRL	pituitary-adenoma-PRL	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
skin-malignant_melanoma-lentigo_maligna	skin-malignant_melanoma-lentigo_maligna	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
skin-vulva-malignant_melanoma	skin-vulva-malignant_melanoma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
mucinous_adenocarcinoma	mucinous_adenocarcinoma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
upper_aerodigestive_tract-pharynx-carcinoma	upper_aerodigestive_tract-pharynx-carcinoma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
anus	anus	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
skin-scalp-malignant_melanoma-nodular	skin-scalp-malignant_melanoma-nodular	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
intraventricular	intraventricular	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
skin-head_neck-carcinoma-Merkel_cell_carcinoma	skin-head_neck-carcinoma-Merkel_cell_carcinoma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
upper_aerodigestive_tract-sinonasal_and_nasal_cavity-carcinoma-undifferentiated_carcinoma	upper_aerodigestive_tract-sinonasal_and_nasal_cavity-carcinoma-undifferentiated_carcinoma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
central_nervous_system-cerebellum-other-ganglioglioma	central_nervous_system-cerebellum-other-ganglioglioma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
central_nervous_system-posterior_fossa-glioma-ependymoma	central_nervous_system-posterior_fossa-glioma-ependymoma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
skin-back-carcinoma-basal_cell_carcinoma	skin-back-carcinoma-basal_cell_carcinoma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
skin-upper_extremity-carcinoma-Merkel_cell_carcinoma	skin-upper_extremity-carcinoma-Merkel_cell_carcinoma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
sarcomatous-fibrous	sarcomatous-fibrous	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
PRL	PRL	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
haematopoietic_and_lymphoid_tissue-lymph_node-lymphoid_neoplasm-Burkitt_lymphoma	haematopoietic_and_lymphoid_tissue-lymph_node-lymphoid_neoplasm-Burkitt_lymphoma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
central_nervous_system-hypothalamus-glioma-astrocytoma_Grade_I	central_nervous_system-hypothalamus-glioma-astrocytoma_Grade_I	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
stomach-adenoma	stomach-adenoma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
giant_cell_tumour	giant_cell_tumour	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
skin-shoulder-malignant_melanoma-nodular	skin-shoulder-malignant_melanoma-nodular	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
ovary-adenoma-mucinous	ovary-adenoma-mucinous	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Hodgkin_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Hodgkin_lymphoma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
skin-lower_extremity-carcinoma-Merkel_cell_carcinoma	skin-lower_extremity-carcinoma-Merkel_cell_carcinoma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
chest_wall	chest_wall	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
Brenner_tumour	Brenner_tumour	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
cervix-carcinoma-adenocarcinoma	cervix-carcinoma-adenocarcinoma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
radius	radius	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
bone-maxilla-other-ameloblastoma	bone-maxilla-other-ameloblastoma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
ovary-carcinoma-transitional_cell_carcinoma	ovary-carcinoma-transitional_cell_carcinoma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
soft_tissue-fat-lipoma	soft_tissue-fat-lipoma	0.999999999979548	-2.04515167576678e-11	13	0	0	23	17775
